PECIFICATION_TYPE,YEAR,VAL,STOCK_NAME,AREA_NAME
ACL,2011,1298,Sablefish,S36
ACL,2011,5515,Sablefish,N36
ACL,2012,1258,Sablefish,S36
ACL,2012,5347,Sablefish,N36
ACL,2013,1439,Sablefish,S36
ACL,2013,4012,Sablefish,N36
ACL,2014,1560,Sablefish,S36
ACL,2014,4349,Sablefish,N36
ACL,2015,1719,Sablefish,S36
ACL,2015,4793,Sablefish,N36
ACL,2016,1880,Sablefish,S36
ACL,2016,5241,Sablefish,N36
ACL,2017,1944,Sablefish,S36
ACL,2017,5252,Sablefish,N36
ACL,2018,1944,Sablefish,S36
ACL,2018,5475,Sablefish,N36
ACL,2019,1990,Sablefish,S36
ACL,2019,5606,Sablefish,N36
ACL,2020,2032,Sablefish,S36
ACL,2020,5723,Sablefish,N36
ACL,2021,1899,Sablefish,S36
ACL,2021,6892,Sablefish,N36
ACL,2022,1809,Sablefish,S36
ACL,2022,6566,Sablefish,N36
ACL,2023,2338,Sablefish,S36
ACL,2023,8486,Sablefish,N36
ACL,2024,2143,Sablefish,S36
ACL,2024,7779.564576,Sablefish,N36
OFL,2011,8808,Sablefish,CW
OFL,2012,8623,Sablefish,CW
OFL,2013,6621,Sablefish,CW
OFL,2014,7158,Sablefish,CW
OFL,2015,7857,Sablefish,CW
OFL,2016,8526,Sablefish,CW
OFL,2017,8050,Sablefish,CW
OFL,2018,8239,Sablefish,CW
OFL,2019,8489,Sablefish,CW
OFL,2020,8648,Sablefish,CW
OFL,2021,9402,Sablefish,CW
OFL,2022,9005,Sablefish,CW
OFL,2023,11577.1,Sablefish,CW
OFL,2024,10669.8,Sablefish,CW
ACL,2011,6813,Sablefish,CW
ACL,2012,6605,Sablefish,CW
ACL,2013,5451,Sablefish,CW
ACL,2014,5909,Sablefish,CW
ACL,2015,6512,Sablefish,CW
ACL,2016,7121,Sablefish,CW
ACL,2017,7196,Sablefish,CW
ACL,2018,7419,Sablefish,CW
ACL,2019,7596,Sablefish,CW
ACL,2020,7755,Sablefish,CW
ACL,2021,8791,Sablefish,CW
ACL,2022,8375,Sablefish,CW
ACL,2023,10824,Sablefish,CW
ACL,2024,9922.564576,Sablefish,CW
