"year","Seas","gear","Discard","Std_in"
2002,1,1,0.224460038107844,0.0333633437453092
2003,1,1,0.157348865506925,0.0247895483483613
2004,1,1,0.197259234591716,0.0441861841580265
2005,1,1,0.123787871950853,0.0116316604635374
2006,1,1,0.146382813707351,0.0238964562905082
2007,1,1,0.145650623318373,0.0207491461965338
2008,1,1,0.174537837981347,0.0315236245913234
2009,1,1,0.128443895207708,0.0292987980613726
2010,1,1,0.157017637278432,0.0253593042720495
2011,1,1,0.192493216475923,0.05
2012,1,1,0.240498843700523,0.05
2013,1,1,0.168360668036495,0.05
2014,1,1,0.131743766135186,0.05
2015,1,1,0.189041137449679,0.05
2016,1,1,0.23552428504033,0.05
2017,1,1,0.132695320406724,0.05
2018,1,1,0.184850097174346,0.05
2019,1,1,0.222955039001643,0.05
2020,1,1,0.211152119128881,0.05
2021,1,1,0.18587597984065,0.05
2002,1,2,0.586401952281639,0.0482728804939475
2003,1,2,0.259523698462864,0.0209605785133469
2004,1,2,0.245831369460306,0.0320655487983082
2005,1,2,0.187307061578778,0.0204555415195783
2006,1,2,0.12439606766078,0.0190713296972183
2007,1,2,0.120191414674926,0.021011596535581
2008,1,2,0.055159475954017,0.0117933930850885
2009,1,2,0.102169223398453,0.0210969765103938
2010,1,2,0.147004284363628,0.0176912079065904
2011,1,2,0.00687487792612014,0.05
2012,1,2,0.00504633588833473,0.05
2013,1,2,0.00617311909878887,0.05
2014,1,2,0.0179453857316917,0.05
2015,1,2,0.00771081001123017,0.05
2016,1,2,0.0196515347736835,0.05
2017,1,2,0.0307381244353789,0.05
2018,1,2,0.0177552454100719,0.05
2019,1,2,0.0665995699134646,0.05
2020,1,2,0.111685434732955,0.05
2021,1,2,0.127769785091666,0.05
